earned, 2718
warcraft, 2715
achievement, 2684
level, 401
legion, 251
100, 162
stand, 103
azsuna, 101
master, 93
invasions, 87
defender, 79
azeroth, 78
matata, 77
explore, 76
quests, 75
player, 74
completed, 67
110, 67
arsenal, 66
power, 65
going, 62
25, 61
heroic, 57
superior, 55
bro, 53
thats, 53
valsharah, 53
draenor, 53
makes, 52
vrykul, 50
sense, 50
story, 50
professional, 49
folks, 46
halls, 41
high, 39
eye, 39
80, 37
enough, 36
azshara, 36
lair, 36
valor, 35
mountain, 35
honorable, 33
10, 31
neltharions, 31
50, 31
savagely, 30
got, 30
darkheart, 28
worldofwarcraft, 28
thicket, 28
90, 27
collector, 27
70, 27
mythic, 27
85, 27
grand, 26
guild, 26
kill, 25
time, 24
fashionista, 24
rest, 23
cast, 23
one, 23
60, 22
reins, 21
run, 21
working, 21
mind, 20
money, 20
training, 20
hunter, 19
peterpander, 19
blue, 19
wild, 19