got, 2277
warcraft, 1845
check, 1514
item, 1508
legion, 483
worldofwarcraft, 124
wow, 83
finally, 74
reins, 70
ashbringer, 60
@warcraft, 58
artifact, 51
deceiver, 47
twinblades, 46
titanstrike, 44
fel, 44
felforged, 42
fel-infused, 42
launch, 42
grove, 39
warden, 39
felshroud, 38
weapon, 38
time, 38
work, 37
100, 37
fallen, 37
play, 36
hours, 35
back, 35
level, 34
today, 33
achievement, 33
blades, 32
ready, 31
first, 31
prince, 30
truthguard, 30
earned, 30
last, 29
new, 29
get, 29
blizzard, 29
go, 29
pet, 28
like, 27
tonight, 25
spreader, 25
pocket, 25
ghanir, 24
boots, 24
cub, 24
windrunners, 23
ashmaw, 23
ring, 23
thasdorah, 23
hype, 23
legacy, 23
hat, 23
world, 23
leggings, 22
&lt3, 22
fel-chain, 22
one, 22
emmigosa, 22
mind, 21
mother, 21
tree, 21
pygmy, 21
owl, 21
money, 20
day, 20
scythe, 20
well, 19
blade, 19
bracers, 19)