warcraft, 25090 
legion, 6609
world, 6433
check, 5002
screenshot, 3831
achievement, 2733
earned, 2711
got, 1858
wow, 1849
item, 1531
of, 1298
worldofwarcraft, 1044
blizzard, 845
stand, 728
fight, 664
win, 658
illidan, 651
enter, 645
pack, 643
@jinx, 633
prize, 633
level, 617
mal, 574
azeroth, 519
hearthstone, 519
gaming, 485
bekommen, 474
gerade, 474
смотрите, 471
logro, 443
conseguir, 442
¡acabo, 436
viens, 413
скриншот, 409
time, 403
launch, 398
get, 391
schaut, 380
new, 371
100, 363
blizzardcs, 341
regardez, 340
podcast, 327
one, 327
like, 309
erfolg, 307
stormchasers, 289
fait, 283
haut, 280
@warcraft, 275
d’accomplir, 274
ready, 264
¡mira, 255
going, 249
invasions, 242
go, 235
day, 224
live, 223
selfie, 221
hours, 217
hype, 215
first, 210
&lt3, 209
expansion, 202
110, 201
finally, 200
retweet, 198
azsuna, 195
dalaran, 194
last, 192
hunter, 188
111, 186
love, 186
capture, 186
prepared, 185
d’écran, 184